========================================La matrice des p_values pour 3 lags est
========================================                  Δ_log_BTCUSDT  Δ_log_ETHUSDT  Δ_log_SOLUSDT
L10.Δ_log_ETHUSDT       0.619021       0.174387       0.784974
L10.Δ_log_SOLUSDT       0.829833       0.518165       0.235369
L11.Δ_log_BTCUSDT       0.241454       0.383987       0.018035
L11.Δ_log_ETHUSDT       0.615955       0.169028       0.056696
L11.Δ_log_SOLUSDT       0.683025       0.416324       0.919659========================================La matrice de corrélation pour 11 lags est
========================================               Δ_log_BTCUSDT  Δ_log_ETHUSDT  Δ_log_SOLUSDT
Δ_log_BTCUSDT       1.000000       0.789981       0.757971
Δ_log_ETHUSDT       0.789981       1.000000       0.747793
Δ_log_SOLUSDT       0.757971       0.747793       1.000000========================================La matrice des p_values pour 12 lags est
========================================                   Δ_log_BTCUSDT  Δ_log_ETHUSDT  Δ_log_SOLUSDT
const                   0.514611       0.701124       0.819624
L1.Δ_log_BTCUSDT        0.000176       0.131374       0.073945
L1.Δ_log_ETHUSDT        0.858167       0.699488       0.186255
L1.Δ_log_SOLUSDT        0.000052       0.002552       0.047596
L2.Δ_log_BTCUSDT        0.434941       0.985093       0.962897
L2.Δ_log_ETHUSDT        0.394035       0.286813       0.001720
L2.Δ_log_SOLUSDT        0.022854       0.207863       0.008280
L3.Δ_log_BTCUSDT        0.009387       0.024684       0.001227
L3.Δ_log_ETHUSDT        0.229499       0.046061       0.001781
L3.Δ_log_SOLUSDT        0.413971       0.568133       0.941719
L4.Δ_log_BTCUSDT        0.866789       0.901145       0.687944
L4.Δ_log_ETHUSDT        0.809588       0.748574       0.405785
L4.Δ_log_SOLUSDT        0.190860       0.403623       0.646401
L5.Δ_log_BTCUSDT        0.526256       0.226230       0.968203
L5.Δ_log_ETHUSDT        0.828376       0.778410       0.569071
L5.Δ_log_SOLUSDT        0.260398       0.675130       0.218149
L6.Δ_log_BTCUSDT        0.589724       0.877328       0.418505
L6.Δ_log_ETHUSDT        0.605425       0.643013       0.407252
L6.Δ_log_SOLUSDT        0.532725       0.850387       0.643347
L7.Δ_log_BTCUSDT        0.132308       0.084975       0.023082
L7.Δ_log_ETHUSDT        0.760727       0.506408       0.284512
L7.Δ_log_SOLUSDT        0.093070       0.003670       0.000046
L8.Δ_log_BTCUSDT        0.759843       0.203843       0.588201
L8.Δ_log_ETHUSDT        0.419723       0.017081       0.712364
L8.Δ_log_SOLUSDT        0.161026       0.056275       0.521708
L9.Δ_log_BTCUSDT        0.481496       0.708661       0.578756
L9.Δ_log_ETHUSDT        0.599730       0.821881       0.090877
L9.Δ_log_SOLUSDT        0.753932       0.576604       0.195094
L10.Δ_log_BTCUSDT       0.899285       0.841373       0.341414
L10.Δ_log_ETHUSDT       0.611101       0.171123       0.758384
L10.Δ_log_SOLUSDT       0.759293       0.577954       0.226536
L11.Δ_log_BTCUSDT       0.182065       0.324874       0.016025
L11.Δ_log_ETHUSDT       0.703391       0.220195       0.070328
L11.Δ_log_SOLUSDT       0.477482       0.603362       0.804505
L12.Δ_log_BTCUSDT       0.167167       0.660470       0.729692
L12.Δ_log_ETHUSDT       0.174740       0.383037       0.404129
L12.Δ_log_SOLUSDT       0.316286       0.310773       0.208140========================================La matrice de corrélation pour 12 lags est
========================================               Δ_log_BTCUSDT  Δ_log_ETHUSDT  Δ_log_SOLUSDT
Δ_log_BTCUSDT       1.000000       0.789895       0.758459
Δ_log_ETHUSDT       0.789895       1.000000       0.747974
Δ_log_SOLUSDT       0.758459       0.747974       1.000000========================================La matrice des p_values pour 13 lags est
========================================                   Δ_log_BTCUSDT  Δ_log_ETHUSDT  Δ_log_SOLUSDT
const                   0.501152       0.694267       0.837377
L1.Δ_log_BTCUSDT        0.000145       0.130465       0.075798
L1.Δ_log_ETHUSDT        0.850211       0.698757       0.188313
L1.Δ_log_SOLUSDT        0.000044       0.002401       0.047780
L2.Δ_log_BTCUSDT        0.440354       0.989450       0.974065
L2.Δ_log_ETHUSDT        0.400019       0.269347       0.001888
L2.Δ_log_SOLUSDT        0.025627       0.206563       0.008759
L3.Δ_log_BTCUSDT        0.009883       0.027322       0.001180
L3.Δ_log_ETHUSDT        0.236997       0.047645       0.001840
L3.Δ_log_SOLUSDT        0.410252       0.593775       0.965743
L4.Δ_log_BTCUSDT        0.877819       0.912092       0.689284
L4.Δ_log_ETHUSDT        0.812275       0.758344       0.400523
L4.Δ_log_SOLUSDT        0.190374       0.382248       0.634221
L5.Δ_log_BTCUSDT        0.516859       0.226060       0.976089
L5.Δ_log_ETHUSDT        0.798359       0.810526       0.568800
L5.Δ_log_SOLUSDT        0.263335       0.659514       0.215529
L6.Δ_log_BTCUSDT        0.588665       0.833388       0.431576
L6.Δ_log_ETHUSDT        0.605054       0.622364       0.413641
L6.Δ_log_SOLUSDT        0.524791       0.910282       0.615788
L7.Δ_log_BTCUSDT        0.130100       0.083635       0.022941
L7.Δ_log_ETHUSDT        0.771907       0.513592       0.286669
L7.Δ_log_SOLUSDT        0.095330       0.003833       0.000046
L8.Δ_log_BTCUSDT        0.788738       0.191833       0.607963
L8.Δ_log_ETHUSDT        0.445244       0.014877       0.742238
L8.Δ_log_SOLUSDT        0.161888       0.052405       0.530754
L9.Δ_log_BTCUSDT        0.485416       0.741155       0.566201
L9.Δ_log_ETHUSDT        0.599107       0.827994       0.090439
L9.Δ_log_SOLUSDT        0.749481       0.612823       0.187282
L10.Δ_log_BTCUSDT       0.903074       0.866054       0.352122
L10.Δ_log_ETHUSDT       0.604142       0.173682       0.749160
L10.Δ_log_SOLUSDT       0.788343       0.558052       0.224657
L11.Δ_log_BTCUSDT       0.175383       0.340177       0.015556
L11.Δ_log_ETHUSDT       0.702107       0.237411       0.067634
L11.Δ_log_SOLUSDT       0.463805       0.635066       0.815921
L12.Δ_log_BTCUSDT       0.146408       0.744338       0.807079
L12.Δ_log_ETHUSDT       0.175678       0.349813       0.395505
L12.Δ_log_SOLUSDT       0.283995       0.405126       0.176894
L13.Δ_log_BTCUSDT       0.259427       0.654507       0.489965
L13.Δ_log_ETHUSDT       0.467202       0.475774       0.977224
L13.Δ_log_SOLUSDT       0.864738       0.151117       0.471943========================================La matrice de corrélation pour 13 lags est
========================================               Δ_log_BTCUSDT  Δ_log_ETHUSDT  Δ_log_SOLUSDT
Δ_log_BTCUSDT       1.000000       0.790265       0.758565
Δ_log_ETHUSDT       0.790265       1.000000       0.748454
Δ_log_SOLUSDT       0.758565       0.748454       1.000000========================================La matrice des p_values pour 14 lags est
========================================                   Δ_log_BTCUSDT  Δ_log_ETHUSDT  Δ_log_SOLUSDT
const                   0.509115       0.685764       0.834956
L1.Δ_log_BTCUSDT        0.000136       0.127560       0.079554
L1.Δ_log_ETHUSDT        0.830970       0.700283       0.196898
L1.Δ_log_SOLUSDT        0.000046       0.002355       0.047432
L2.Δ_log_BTCUSDT        0.443083       0.988536       0.979735
L2.Δ_log_ETHUSDT        0.430216       0.298712       0.002184
L2.Δ_log_SOLUSDT        0.028309       0.218862       0.009344
L3.Δ_log_BTCUSDT        0.009485       0.027039       0.001148
L3.Δ_log_ETHUSDT        0.230470       0.047042       0.001763
L3.Δ_log_SOLUSDT        0.415314       0.602365       0.954477
L4.Δ_log_BTCUSDT        0.857205       0.872994       0.672792
L4.Δ_log_ETHUSDT        0.829517       0.746649       0.394370
L4.Δ_log_SOLUSDT        0.201619       0.409424       0.619741
L5.Δ_log_BTCUSDT        0.506172       0.237720       0.988791
L5.Δ_log_ETHUSDT        0.751333       0.866688       0.601232
L5.Δ_log_SOLUSDT        0.298278       0.605977       0.237707
L6.Δ_log_BTCUSDT        0.602002       0.850071       0.437951
L6.Δ_log_ETHUSDT        0.629619       0.635378       0.423809
L6.Δ_log_SOLUSDT        0.539908       0.923341       0.626985
L7.Δ_log_BTCUSDT        0.125198       0.074778       0.022049
L7.Δ_log_ETHUSDT        0.778903       0.530326       0.290423
L7.Δ_log_SOLUSDT        0.095174       0.003443       0.000047
L8.Δ_log_BTCUSDT        0.819783       0.211748       0.631105
L8.Δ_log_ETHUSDT        0.473961       0.017843       0.771738
L8.Δ_log_SOLUSDT        0.164621       0.054522       0.536795
L9.Δ_log_BTCUSDT        0.485936       0.752854       0.562278
L9.Δ_log_ETHUSDT        0.612368       0.827882       0.095045
L9.Δ_log_SOLUSDT        0.755776       0.608651       0.189433
L10.Δ_log_BTCUSDT       0.907820       0.875813       0.353882
L10.Δ_log_ETHUSDT       0.591064       0.165049       0.738545
L10.Δ_log_SOLUSDT       0.774127       0.557373       0.230447
L11.Δ_log_BTCUSDT       0.156543       0.308214       0.013722
L11.Δ_log_ETHUSDT       0.667061       0.214551       0.062247
L11.Δ_log_SOLUSDT       0.452260       0.637824       0.811498
L12.Δ_log_BTCUSDT       0.159565       0.798547       0.784106
L12.Δ_log_ETHUSDT       0.169850       0.348440       0.403463
L12.Δ_log_SOLUSDT       0.326984       0.458198       0.198312
L13.Δ_log_BTCUSDT       0.266435       0.625870       0.486449
L13.Δ_log_ETHUSDT       0.429310       0.407584       0.981538
L13.Δ_log_SOLUSDT       0.936231       0.110866       0.510641
